District,Code,Party,Incumbent Name,,Pronunciation Guide,,First Elected,Birth Year,Gender,Race/ Ethnicity,Religion,Openly LGBTQ,Pre-2016 Incumbent,2016 US House,,2014 US House,,2012 Two-Party,,2016 President,,2012 President,,2008 President,,2010 Census Adult Population by Race,,,,,,2016 American Community Survey Income and Education,,,,,,2013-2017 House Specials,,,,2016 President,,,2012 President,,,2008 President,,,2016 House,,,,2014 House,,,,2012 House 2-Party,,Special Elections,,,,Total Population Demographics,,,,,,,Voting Age Population Demographics (18+),,,,,,
,,,First,Last,Phonetic,IPA,,,,,,,,Dem,Rep,Dem,Rep,Dem,Rep,Clinton,Trump,Obama,Romney,Obama,McCain,White,Black,Latino,Asian and Pacific Islander,Native,Other,Bachelor's Degree or Higher Among Age 25+,BA Rank,White BA,White Rank,Median Income (Household),Income Rank,Date,Dem,Rep,,Total,Clinton,Trump,Total,Obama,Romney,Total,Obama,McCain,Total,Dem,Rep,Other,Total,Dem,Rep,Other,Dem,Rep,Total,Dem,Rep,Other,Total,White,Black,Latino, Asian and Pacific Islander,Native American,Other,Total,White,Black,Latino,Asian and Pacific Islander,Native American,Other
Texas 7th,TX-07,Republican,John,Culberson,(JAHN KUHL-ber-suhn),/dʒɑn 'kʌl.bəɹ.sən/,2000,1956,Man,White - Non-Hispanic,Christian - Methodist,No,Re-elected,43.8,56.2,34.5,63.3,37.5,62.5,48.5,47.1,38.6,59.9,40.5,58.8,50.9,10.7,27.1,9.6,0.2,1.5,50.7 ,26 ,61.5 ,22 ,"$71,183",87,,,,368,"257,308","124,722","121,204","239,767","92,499","143,631","239,081","96,866","140,692","255,533","111,991","143,542",0,"143,219","49,478","90,606","3,135","85,553","142,793",,,,,"699,182","330,675","77,731","211,163","65,030","1,331","13,252","519,856","264,568","55,558","141,108","49,973","1,018","7,631"
Texas 8th,TX-08,Republican,Kevin,Brady,(KEH-vin BRAY-dee),/'kɛ.vɪn 'bɹeɪ.ɾi/,1996,1955,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,0,100,0,89.3,20.8,79.2,23.9,72.7,21.7,77.0,26.2,73.2,71.8,8.3,16.6,2.0,0.4,1.0,30.2 ,197 ,32.5 ,228 ,"$64,861",139,,,,369,"295,099","70,532","214,605","254,167","55,273","195,742","234,270","61,357","171,408","236,379",0,"236,379",0,"140,013",0,"125,066","14,947","51,051","194,043",,,,,"694,659","476,580","56,090","135,278","14,239","2,551","9,921","513,910","368,897","42,412","85,144","10,386","1,961","5,110"
Texas 9th,TX-09,Democratic,Al,Green,(AL GREEN),/æl gɹin/,2004,1947,Man,Black - African-American,Christian - Southern Baptist,No,Re-elected,80.6,19.4,90.8,0,79.9,20.1,79.3,18.0,78.0,21.1,76.2,23.4,13.9,38.2,34.0,12.5,0.2,1.2,23.8 ,315 ,44.5 ,95 ,"$46,048",361,,,,370,"191,042","151,559","34,447","186,267","145,332","39,392","189,937","144,707","44,520","188,523","152,032","36,491",0,"86,003","78,109",0,"7,894","144,075","36,139",,,,,"696,349","79,829","268,321","259,715","77,370","1,053","10,061","499,324","69,338","190,957","169,698","62,363",772,"6,196"
Texas 10th,TX-10,Republican,Michael,McCaul,(MY-kuhl muh-KAWL),/'maɪ.kəl mə.'kɔl/,2004,1962,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,38.4,57.3,34.1,62.2,37.5,62.5,43.2,52.3,38.8,59.1,42.7,56.4,61.8,9.5,22.8,4.4,0.3,1.2,38.7 ,89 ,45.5 ,89 ,"$73,476",76,,,,371,"315,133","135,984","164,912","270,136","104,839","159,714","264,035","112,866","148,867","312,600","120,170","179,221","13,209","176,460","60,243","109,726","6,491","95,710","159,783",,,,,"689,685","397,326","67,060","181,716","30,551","1,905","11,127","507,359","313,669","48,316","115,513","22,404","1,487","5,970"
Texas 11th,TX-11,Republican,Mike,Conaway,(MIKE KAHN-uh-way),/maɪk 'kɑ.nə.weɪ/,2004,1948,Man,White - Non-Hispanic,Christian - Southern Baptist,No,Re-elected,0,89.5,0,90.3,19.1,80.9,19.1,77.8,19.6,79.2,23.2,76.1,66.2,3.3,28.4,0.8,0.4,0.8,20.4 ,380 ,26.3 ,328 ,"$50,602",299,,,,372,"248,860","47,468","193,620","230,331","45,070","182,355","242,210","56,145","184,238","225,548",0,"201,871","23,677","119,574",0,"107,939","11,635","41,970","177,742",,,,,"716,106","440,232","24,198","235,860","5,313","3,058","7,445","537,073","355,583","17,930","152,538","4,106","2,398","4,518"
Texas 12th,TX-12,Republican,Kay,Granger,(KAY GRAYN-jer),/keɪ 'gɹeɪn.dʒəɹ/,1996,1943,Woman,White - Non-Hispanic,Christian - Methodist,No,Re-elected,26.9,69.4,26.3,71.3,27.3,72.7,32.7,62.9,31.7,66.8,35.5,63.7,70.7,7.2,17.3,3.1,0.5,1.2,29.9 ,205 ,34.3 ,197 ,"$62,214",153,,,,373,"282,691","92,549","177,939","249,826","79,147","166,992","252,637","89,718","161,030","283,115","76,029","196,482","10,604","158,730","41,757","113,186","3,787","66,080","175,649",,,,,"692,446","460,918","52,742","142,814","20,927","3,373","11,672","514,594","363,918","37,107","88,818","15,865","2,622","6,264"
Texas 13th,TX-13,Republican,Mac,Thornberry,(MACK THORN-bear-ee),/mæk 'θɔɹn.bɛ.ɹi/,1994,1958,Man,White - Non-Hispanic,Christian - Presbyterian,No,Re-elected,0,90.0,12.8,84.3,0,100,16.9,79.9,18.5,80.2,22.3,77.0,71.2,5.2,20.3,1.6,0.6,1.0,20.4 ,380 ,24.7 ,360 ,"$50,150",308,,,,374,"238,846","40,253","190,838","229,545","42,521","184,104","246,252","54,855","189,600","221,242",0,"199,050","22,192","131,451","16,822","110,842","3,787",0,"187,775",,,,,"697,818","466,233","36,270","169,542","11,664","4,324","9,785","518,568","369,280","27,066","105,177","8,457","3,271","5,317"
Texas 14th,TX-14,Republican,Randy,Weber,(RAN-dee WEB-er),/'ɹæn.di 'wɛ.bəɹ/,2012,1953,Man,White - Non-Hispanic,Christian - Baptist,No,Re-elected,38.1,61.9,36.1,61.9,45.5,54.5,38.4,58.2,39.5,59.3,42.2,57.1,56.9,19.8,19.2,2.8,0.4,1.0,22.7 ,338 ,28.4 ,295 ,"$58,103",196,,,,375,"263,381","101,228","153,191","248,073","97,958","147,213","243,755","102,902","139,304","259,685","99,054","160,631",0,"145,698","52,545","90,116","3,037","109,697","131,460",,,,,"699,852","372,487","141,256","154,676","19,462","2,350","9,621","524,374","298,262","103,606","100,850","14,630","1,888","5,138"
Texas 15th,TX-15,Democratic,Vicente,González,(vi-SEN-tay gon-ZAH-lez),/vɪ.'sɛn.te gɑn.'zɑ.lɛz/,2016,1967,Man,Hispanic,Christian - Roman Catholic,No,Open - Retired,57.3,37.7,54.0,43.3,62.3,37.7,56.7,40.0,57.4,41.5,57.4,41.9,19.4,1.7,77.3,1.2,0.1,0.4,19.8 ,390 ,31.1 ,249 ,"$41,947",397,,,,376,"184,358","104,454","73,689","151,351","86,941","62,885","146,097","83,924","61,282","177,479","101,712","66,877","8,890","90,184","48,708","39,016","2,460","89,296","54,056",,,,,"693,850","112,499","10,009","560,294","7,323",833,"2,892","466,070","90,311","7,833","360,207","5,402",630,"1,687"
Texas 16th,TX-16,Democratic,Beto,O'Rourke,(BEH-toh oh-RORK) [uses an alveolar stop /t/ instead of flap /ɾ/],/'bɛ.toʊ oʊ.'ɹɔɹk/,2012,1972,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,85.7,0,67.5,29.2,66.5,33.5,67.9,27.2,64.2,34.5,64.6,34.7,17.1,3.0,77.5,1.4,0.3,0.7,23.9 ,311 ,37.0 ,171 ,"$44,045",382,,,,377,"192,692","130,784","52,334","157,414","100,993","54,315","169,232","109,387","58,764","175,229","150,228",0,"25,001","73,105","49,338","21,324","2,443","101,403","51,043",,,,,"692,582","102,246","20,224","554,318","8,258","1,673","5,863","489,548","83,767","14,907","379,571","6,655","1,290","3,358"
Texas 17th,TX-17,Republican,Bill,Flores,(BILL FLOR-iss),/bɪl 'flɔ.ɹɪs/,2010,1954,Man,Hispanic - Texan (Hispanos),Christian - Southern Baptist,No,Re-elected,35.2,60.8,32.4,64.6,0,100,38.8,56.3,37.7,60.4,41.0,58.1,62.1,12.4,19.9,4.2,0.3,1.1,29.4 ,214 ,36.3 ,179 ,"$50,888",292,,,,378,"247,625","96,156","139,415","224,079","84,531","135,309","233,690","95,884","135,738","245,728","86,603","149,417","9,708","132,865","43,049","85,807","4,009",0,"143,284",,,,,"702,420","404,411","93,389","163,935","27,921","1,926","10,838","534,916","332,332","66,455","106,291","22,306","1,533","5,999"
Texas 18th,TX-18,Democratic,Shelia,Jackson Lee,(SHEE-luh JACK-suhn LEE),/'ʃi.lə 'dʒæk.sən li/,1994,1950,Woman,Black - African-American,Christian - Seventh-Day Adventist,No,Re-elected,73.5,23.6,71.8,24.8,76.9,23.1,76.5,20.0,76.1,22.8,76.7,22.9,20.0,41.0,34.0,3.7,0.2,1.0,22.4 ,346 ,49.6 ,64 ,"$42,662",394,,,,379,"205,514","157,117","41,011","197,206","150,129","44,991","196,624","150,733","45,069","204,308","150,157","48,306","5,845","106,010","76,097","26,249","3,664","146,223","44,015",,,,,"678,812","112,335","275,335","259,219","22,600","1,192","8,131","492,316","98,645","201,998","167,403","18,263",946,"5,061"
Texas 19th,TX-19,Republican,Jodey,Arrington,(JOH-dee AIR-ing-tuhn),/'dʒoʊ.ɾi 'ɛ.ɹɪŋg.tən/,2016,1972,Man,White - Non-Hispanic,Christian - Presbyterian,No,Open - Retired,0,86.7,18.4,77.1,0,100,23.5,72.5,25.0,73.6,28.0,71.3,62.2,5.7,29.4,1.4,0.4,0.9,22.4 ,346 ,30.8 ,259 ,"$47,875",341,,,,380,"228,008","53,519","165,384","217,619","54,461","160,141","236,363","66,122","168,553","203,475",0,"176,314","27,161","115,825","21,325","89,326","5,174",0,"163,239",,,,,"700,602","402,548","40,888","237,388","8,923","2,579","8,276","524,057","325,744","30,090","154,297","7,238","2,048","4,640"
Texas 20th,TX-20,Democratic,Joaquin,Castro,"(wah-KEEN KAH-stro) [R is trilled, O unrounded]",/wɑ.'kin 'kɑ.stro/,2012,1974,Man,Hispanic - Mexican,Christian - Roman Catholic,No,Re-elected,79.7,0,75.7,0,65.6,34.4,61.0,34.3,58.9,39.7,58.5,40.8,26.6,4.6,64.7,2.8,0.2,1.1,24.7 ,297 ,42.7 ,115 ,"$49,421",323,,,,381,"216,952","132,363","74,386","187,835","110,663","74,540","197,670","115,579","80,667","187,669","149,640",0,"38,029","87,964","66,554",0,"21,410","119,032","62,376",,,,,"690,154","160,686","30,256","471,362","17,201","1,408","9,241","503,169","133,794","23,311","325,369","13,904","1,162","5,629"
Texas 21st,TX-21,Republican,Lamar,Smith,(luh-MAR SMITH),/'lə.mɑɹ smɪθ/,1986,1947,Man,White - Non-Hispanic,Christian - Christian Scientist,No,Re-elected,36.4,57.0,0,71.8,36.9,63.1,42.5,52.5,37.9,59.8,42.4,56.7,66.8,3.3,25.0,3.3,0.3,1.3,45.1 ,41 ,49.7 ,63 ,"$68,987",103,,,,382,"358,985","152,528","188,335","314,591","119,220","188,241","314,971","133,581","178,531","356,031","129,765","202,967","23,299","188,996",0,"135,660","53,336","109,326","187,015",,,,,"681,608","431,913","23,008","191,587","21,680","2,061","11,359","539,982","360,906","17,714","134,775","17,610","1,734","7,243"
Texas 22nd,TX-22,Republican,Pete,Olson,(PEET OHL-suhn),/pit 'oʊl.sən/,2008,1962,Man,White - Non-Hispanic,Christian - Methodist,No,Re-elected,40.5,59.5,31.6,66.5,33.3,66.7,44.2,52.1,36.7,62.1,38.8,60.5,48.2,11.9,22.1,16.1,0.2,1.4,45.1 ,41 ,46.6 ,81 ,"$87,901",32,,,,383,"306,777","135,525","159,717","255,043","93,582","158,452","234,671","91,137","142,073","305,543","123,679","181,864",0,"151,566","47,844","100,861","2,861","80,203","160,668",,,,,"697,318","315,103","85,562","170,341","110,977","1,627","13,708","494,113","238,141","58,990","109,325","79,484","1,128","7,045"
Texas 23rd,TX-23,Republican,Will,Hurd,(WILL HURD),/wɪl hɜɹd/,2014,1977,Man,Black - African-American,Christian - Protestant,No,Re-elected,47.0,48.3,47.7,49.8,52.5,47.5,49.8,46.4,48.1,50.7,50.0,49.4,28.5,3.0,66.2,1.3,0.3,0.6,21.7 ,357 ,38.4 ,153 ,"$51,293",284,,,,384,"231,365","115,154","107,276","196,410","94,420","99,666","193,782","96,871","95,679","228,965","107,526","110,577","10,862","115,429","55,037","57,459","2,933","96,676","87,547",,,,,"708,786","178,386","19,772","494,151","8,277","2,448","5,752","495,646","141,227","15,098","328,070","6,327","1,703","3,221"
Texas 24th,TX-24,Republican,Kenny,Marchant,(KEN-ee MAR-tchunt),/'kɛ.ni 'mɑɹ.tʃənt/,2004,1951,Man,White - Non-Hispanic,Christian - Nazarene (Holiness),No,Re-elected,39.3,56.2,32.3,65.0,37.1,62.9,44.5,50.7,38.0,60.4,40.7,58.6,57.3,9.6,20.4,10.7,0.4,1.5,44.7 ,45 ,50.9 ,57 ,"$70,454",93,,,,385,"276,137","122,872","140,128","249,080","94,634","150,547","260,216","105,822","152,453","275,635","108,389","154,845","12,401","144,073","46,548","93,712","3,813","87,645","148,586",,,,,"692,820","369,026","67,928","163,450","75,547","2,548","14,321","523,431","300,066","50,162","106,984","56,185","1,959","8,075"
Texas 25th,TX-25,Republican,Roger,Williams,(RAH-jer WEE-yuhmz),/'ɹɑ.dʒəɹ 'wi.jəmz/,2012,1949,Man,White - Non-Hispanic,Christian - Disciples of Christ,No,Re-elected,37.7,58.3,36.2,60.2,39.1,60.9,40.2,55.1,37.8,59.9,42.8,56.2,72.8,6.9,15.4,3.0,0.4,1.4,37.2 ,105 ,41.4 ,123 ,"$69,083",102,,,,386,"313,111","125,949","172,476","270,807","102,433","162,279","274,061","117,402","153,998","310,196","117,073","180,988","12,135","177,883","64,463","107,120","6,300","98,827","154,245",,,,,"720,956","501,121","51,446","130,598","20,534","2,860","14,397","536,383","390,735","37,261","82,717","15,929","2,165","7,576"
Texas 26th,TX-26,Republican,Michael,Burgess,(MY-kuhl BER-jess),/'maɪ.kəl 'bɜɹ.dʒɛs/,2002,1950,Man,White - Non-Hispanic,Christian - Episcopalian,No,Re-elected,29.6,66.4,0,82.7,29.6,70.4,34.4,60.9,30.7,67.6,35.0,64.3,71.5,6.7,14.8,5.0,0.5,1.5,44.2 ,49 ,46.7 ,80 ,"$87,272",33,,,,387,"318,854","109,536","194,033","263,196","80,828","177,941","259,505","90,791","166,877","319,080","94,507","211,730","12,843","141,470",0,"116,944","24,526","74,237","176,642",,,,,"697,278","477,663","47,134","119,418","35,223","3,420","14,420","496,578","355,054","33,163","73,639","25,067","2,448","7,207"
Texas 27th,TX-27,Republican,Blake,Farenthold,(BLAYK FAIR-en-thawld),/bleɪk 'fɛ.ɹɛn.θɔld/,2010,1961,Man,White - Non-Hispanic,Christian - Episcopalian,No,Re-elected,38.3,61.7,33.7,63.6,40.9,59.1,36.5,60.1,38.2,60.5,40.2,59.1,47.3,5.1,45.1,1.5,0.3,0.8,20.3 ,385 ,29.3 ,279 ,"$53,047",251,,,,388,"234,367","85,589","140,787","217,772","83,158","131,821","226,488","91,083","133,839","230,580","88,329","142,251",0,"131,047","44,152","83,342","3,553","83,395","120,684",,,,,"704,891","301,421","36,021","348,745","9,886","1,862","6,956","520,958","246,166","26,768","234,901","7,608","1,493","4,022"
Texas 28th,TX-28,Democratic,Henry,Cuellar,(HEN-ree KWAY-ahr) [Second R is trilled],/'hɛn.ɹi 'kweɪ.ɑr/,2004,1955,Man,Hispanic - Mexican,Christian - Roman Catholic,No,Re-elected,66.2,31.3,82.1,0,69.5,30.5,58.3,38.5,60.3,38.7,58.4,41.1,21.1,4.1,72.9,1.1,0.2,0.6,17.7 ,408 ,28.3 ,297 ,"$44,021",383,,,,389,"188,600","110,023","72,518","168,874","101,843","65,372","158,418","92,557","65,066","184,442","122,086","57,740","4,616","76,136","62,508",0,"13,628","112,456","49,309",,,,,"703,920","125,348","27,911","537,837","6,738",979,"5,107","477,030","100,833","19,779","347,567","5,241",781,"2,829"
Texas 29th,TX-29,Democratic,Gene,Green,(JEEN GREEN),/dʒin gɹin/,1992,1947,Man,White - Non-Hispanic,Christian - Methodist,No,Re-elected,72.5,24.0,89.5,0,100,0,71.1,25.4,65.9,33.0,62.3,37.1,14.7,10.0,72.8,1.8,0.2,0.5,10.4 ,432 ,21.1 ,407 ,"$41,737",400,,,,390,"133,642","95,027","34,011","114,901","75,720","37,909","112,823","70,286","41,843","131,982","95,649","31,646","4,687","46,143","41,321",0,"4,822","86,053",0,,,,,"696,907","81,252","67,088","532,612","10,863",946,"4,146","470,400","69,200","46,888","342,595","8,519",722,"2,476"
Texas 30th,TX-30,Democratic,Eddie Bernice,Johnson,(EH-dee ber-NEES JAHN-suhn),/'ɛ.di bəɹ.'nis 'dʒɑn.sən/,1992,1935,Woman,Black - African-American,Christian - Baptist,No,Re-elected,81.6,15.1,87.9,0,80.6,19.4,79.1,18.3,79.6,19.6,78.5,21.1,21.3,44.7,30.8,2.0,0.3,0.9,20.5 ,379 ,40.8 ,130 ,"$44,689",376,,,,391,"220,711","174,528","40,333","220,565","175,637","43,333","223,182","175,237","47,144","208,826","170,502","31,518","6,806","105,793","93,041",0,"12,752","171,059","41,222",,,,,"707,252","122,052","312,089","250,571","12,519","1,874","8,147","501,433","106,974","224,226","154,296","9,805","1,481","4,651"
Texas 31st,TX-31,Republican,John,Carter,(JAHN CAR-ter),/dʒɑn 'kɑɹ.ɾəɹ/,2002,1941,Man,White - Non-Hispanic,Christian - Lutheran,No,Re-elected,36.5,58.4,32.0,64.0,36.3,63.7,40.8,53.5,38.3,59.6,42.8,56.2,63.6,10.5,19.5,4.3,0.4,1.7,34.3 ,135 ,38.3 ,154 ,"$69,228",99,,,,392,"287,510","117,181","153,823","242,714","92,842","144,634","241,425","103,359","135,601","284,588","103,852","166,060","14,676","143,028","45,715","91,607","5,706","82,977","145,348",,,,,"697,292","415,111","75,808","157,062","29,353","2,626","17,332","500,711","318,431","52,498","97,882","21,508","2,021","8,371"
Texas 32nd,TX-32,Republican,Pete,Sessions,(PEET SEH-shuhnz),/pit 'sɛ.ʃənz/,2002,1955,Man,White - Non-Hispanic,Christian - Methodist,No,Re-elected,0,71.1,35.4,61.8,40.4,59.6,48.5,46.6,41.5,57.0,44.0,55.3,57.7,11.4,21.9,7.3,0.3,1.3,43.4 ,54 ,55.7 ,37 ,"$70,119",95,,,,393,"278,080","134,895","129,701","256,873","106,563","146,420","266,302","117,231","147,226","229,171",0,"162,868","66,303","156,096","55,325","96,495","4,276","99,288","146,653",,,,,"703,008","372,416","85,748","180,602","50,022","2,393","11,827","527,032","304,242","60,015","115,579","38,575","1,841","6,780"
Texas 33rd,TX-33,Democratic,Marc,Veasey,(MARK VEE-see),/mɑɹk 'vi.si/,2012,1971,Man,Black - African-American,Christian - Southern Baptist,No,Re-elected,73.7,26.3,86.5,0,73.8,26.2,72.9,23.7,72.0,27.1,68.7,30.7,19.9,16.9,59.7,2.4,0.3,0.8,9.3 ,434 ,24.3 ,368 ,"$38,445",421,,,,394,"129,653","94,513","30,787","120,480","86,686","32,641","131,182","90,180","40,290","126,369","93,147","33,222",0,"50,592","43,769",0,"6,823","85,114","30,252",,,,,"703,224","110,752","111,975","456,788","15,121","1,933","6,655","475,960","94,662","80,378","284,093","11,539","1,504","3,784"
Texas 34th,TX-34,Democratic,Filemon,Vela,(FEE-lay-muhn VEH-luh),/'fi.le.mən 'vɛ.lə/,2012,1963,Man,Hispanic - Mexican,Christian - Roman Catholic,No,Re-elected,62.7,37.3,59.5,38.6,63.1,36.9,59.2,37.7,60.8,38.3,60.2,39.2,18.2,1.4,79.3,0.7,0.1,0.3,15.1 ,423 ,26.1 ,331 ,"$37,989",424,,,,395,"171,969","101,796","64,767","149,511","90,885","57,303","149,742","90,178","58,707","166,961","104,638","62,323",0,"79,877","47,503","30,811","1,563","89,606","52,448",,,,,"694,345","103,425","7,818","576,009","4,230",780,"2,083","476,984","86,991","6,624","378,169","3,310",596,"1,294"
Texas 35th,TX-35,Democratic,Lloyd,Doggett,(LOYD DAW-guht),/lɔɪd 'dɔ.gət/,1994,1946,Man,White - Non-Hispanic,Christian - Methodist,No,Re-elected,63.1,31.6,62.5,33.3,66.6,33.4,64.1,30.5,63.0,34.6,63.5,35.6,29.8,9.6,57.7,1.6,0.3,1.1,20.4 ,380 ,34.3 ,197 ,"$48,490",332,,,,396,"200,576","128,535","61,136","167,467","105,545","57,989","176,150","111,790","62,764","197,576","124,612","62,384","10,580","96,225","60,124","32,040","4,061","105,626","52,894",,,,,"681,404","174,918","63,659","423,076","9,492","1,692","8,567","490,339","146,243","46,859","282,682","8,013","1,337","5,205"
Texas 36th,TX-36,Republican,Brian,Babin,(BRAHY-uhn BAB-in),/'bɹa.ən 'bæ.bɪn/,2014,1948,Man,White - Non-Hispanic,Christian - Southern Baptist,No,Re-elected,0,88.6,22.1,76.0,27.3,72.7,25.2,72.0,25.7,73.2,29.6,69.6,69.2,9.0,18.3,2.2,0.5,0.9,19.4 ,393 ,21.7 ,402 ,"$58,984",190,,,,397,"254,447","64,225","183,176","240,433","61,786","175,883","238,206","70,543","165,899","218,565",0,"193,675","24,890","133,842","29,543","101,663","2,636","62,143","165,405",,,,,"700,735","459,185","63,876","151,047","14,623","3,111","8,893","518,256","358,575","46,424","94,967","11,167","2,362","4,761"
Utah 1st,UT-01,Republican,Rob,Bishop,(RAHB BIH-shoop) [OO as in good],/ɹɑb 'bɪ.ʃʊp/,2002,1951,Man,White - Non-Hispanic,Christian - Mormon,No,Re-elected,26.4,65.9,27.9,64.6,25.7,74.3,22.4,49.7,20.4,77.4,29.4,67.7,84.8,1.0,10.2,1.9,0.9,1.2,28.9 ,221 ,31.3 ,245 ,"$65,896",130,,,,398,"280,442","62,733","139,503","250,278","51,098","193,672","237,027","69,594","160,433","277,455","73,381","182,928","21,146","130,341","36,422","84,231","9,688","60,611","175,487",,,,,"692,099","573,688","6,533","81,381","11,728","6,139","12,630","467,487","396,442","4,458","47,836","8,900","4,257","5,594"
Utah 2nd,UT-02,Republican,Chris,Stewart,(KRISS STOO-ert),/kɹɪs 'stu.əɹt/,2012,1960,Man,White - Non-Hispanic,Christian - Mormon,No,Re-elected,33.9,61.6,32.9,61.4,35.0,65.0,32.0,46.0,29.2,68.0,38.4,58.5,80.9,1.0,12.5,3.5,0.9,1.2,32.5 ,163 ,35.3 ,188 ,"$60,700",176,,,,399,"283,699","90,686","130,525","255,201","74,556","173,513","244,925","94,123","143,331","276,841","93,780","170,542","12,519","144,695","47,585","88,915","8,195","83,176","154,523",,,,,"687,939","537,386","7,660","100,891","23,309","6,109","12,584","484,976","392,132","4,859","60,768","17,011","4,269","5,937"
Utah 3rd,UT-03,Republican,John,Curtis,(JAHN KUR-tis),/dʒɑn 'kɜɹ.tɪs/,2017 Special,1960,Man,White - Non-Hispanic,Christian - Mormon,No,Re-elected,26.5,73.5,22.5,72.2,23.4,76.6,23.3,47.2,19.5,78.3,29.5,67.5,85.7,0.5,8.6,2.5,1.5,1.3,41.6 ,67 ,44.0 ,99 ,"$70,763",90,7-Nov-17,25.9,58.1,400,"289,923","67,461","136,782","265,856","51,791","208,121","249,389","73,625","168,358","285,305","75,716","209,589",0,"142,580","32,059","102,952","7,569","60,719","198,828","134,642","34,841","78,201","12,404","694,412","583,303","3,748","67,323","15,969","10,614","13,455","474,644","406,992","2,238","40,634","11,672","6,991","6,117"
Utah 4th,UT-04,Republican,Mia,Love,(MEE-uh LUHV),/'mi.ə lʌv/,2014,1975,Woman,Black - Haitian,Christian - Mormon,No,Re-elected,41.3,53.8,45.8,50.9,50.2,49.8,32.4,39.1,30.2,67.2,40.9,56.1,79.0,1.0,14.0,4.1,0.6,1.3,28.2 ,230 ,31.2 ,247 ,"$68,711",107,,,,401,"277,311","89,796","108,421","246,066","74,368","165,294","220,996","90,328","123,909","274,569","113,413","147,597","13,559","147,168","67,425","74,936","4,807","119,803","119,035",,,,,"689,428","527,335","8,010","108,745","27,079","4,219","14,040","465,748","367,999","4,852","65,256","18,894","2,921","5,826"
Vermont At-Large,VT-AL,Democratic,Peter,Welch,(PEE-ter WELCH),/'pi.ɾəɹ wɛltʃ/,2006,1947,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,89.5,0,64.4,31.0,75.6,24.4,56.7,30.3,67.0,31.2,67.8,30.6,95.2,0.8,1.3,1.2,0.3,1.2,36.4 ,115 ,36.5 ,176 ,"$57,677",199,,,,402,"315,067","178,573","95,369","297,247","199,239","92,698","323,582","219,262","98,974","295,334","264,414",0,"30,920","191,504","123,349","59,432","8,723","209,312","67,543",,,,,"625,741","590,223","5,943","9,208","8,015","2,023","10,329","496,508","472,559","3,840","6,328","5,993","1,619","6,169"
Virginia 1st,VA-01,Republican,Rob,Wittman,(RAHB WITT-min),/ɹɑb 'wiθ.mɪn/,2007 Special,1959,Man,White - Non-Hispanic,Christian - Episcopalian,No,Re-elected,36.6,59.9,      Redrawn,,      Redrawn,,41.2,53.6,43.4,55.3,44.9,54.3,72.6,15.9,6.7,2.8,0.4,1.6,37.5 ,98 ,41.2 ,125 ,"$81,338",46,,,,403,"395,289","162,931","211,991","374,545","162,611","207,062","350,900","157,681","190,532","384,601","140,785","230,213","13,603",,,,,,,,,,,"729,738","512,126","117,020","57,806","20,683","2,700","19,403","543,207","394,220","86,289","36,587","15,419","2,083","8,609"
Virginia 2nd,VA-02,Republican,Scott,Taylor,(SKAHT TAY-lor),/skɑt 'teɪ.ləɹ/,2016,1979,Man,White - Non-Hispanic,Christian - Protestant,No,Open - Retired,38.5,61.3,      Redrawn,,      Redrawn,,45.4,48.8,48.2,50.5,49.0,50.1,67.5,19.0,5.8,5.2,0.3,2.1,34.4 ,133 ,38.5 ,152 ,"$66,953",122,,,,404,"321,068","145,762","156,694","320,975","154,698","161,995","325,889","159,604","163,349","310,568","119,440","190,475",653,,,,,,,,,,,"726,772","471,381","143,930","48,835","36,696","2,455","23,475","561,599","379,294","106,772","32,593","29,363","1,963","11,614"
Virginia 3rd,VA-03,Democratic,Bobby,Scott,(BAH-bee SKAHT),/'bɑ.bi skɑt/,1992,1947,Man,Black - African-American,Christian - Episcopalian,No,Re-elected,66.7,33.1,      Redrawn,,      Redrawn,,63.6,31.9,67.6,31.3,66.8,32.6,46.6,44.3,4.3,2.6,0.4,1.9,26.2 ,272 ,32.3 ,233 ,"$51,794",269,,,,405,"323,422","205,746","103,064","336,890","227,734","105,561","337,112","225,226","109,737","312,340","208,337","103,289",714,,,,,,,,,,,"725,881","314,335","334,899","35,829","17,338","2,475","21,005","551,449","256,762","244,068","23,818","14,136","1,965","10,700"
