chamber,member,member_short,party,district,trump_score,trump_margin,predicted_score,trump_plus_minus
House,A. Drew Ferguson IV,Ferguson,R,GA-3,96.6,31.5,93.7,2.9
House,Martha Roby,Roby,R,AL-2,96.6,31.9,93.7,2.9
House,Blaine Luetkemeyer,Luetkemeyer,R,MO-3,96.6,39,93.8,2.9
House,Mike Rogers,Rogers,R,AL-3,96.6,33,93.8,2.9
House,Vicky Hartzler,Hartzler,R,MO-4,96.6,36,93.8,2.8
House,Brad Sherman,Sherman,D,CA-30,17.2,-43.4,14.5,2.7
House,Lucille Roybal-Allard,Roybal-Allard,D,CA-40,15.5,-69.4,12.8,2.7
House,Virginia Foxx,Foxx,R,NC-5,93.2,17.5,90.7,2.6
House,Stephen F. Lynch,Lynch,D,MA-8,21.1,-26,18.5,2.6
House,Mike Gallagher,Gallagher,R,WI-8,93.2,17.6,90.7,2.5
House,David Rouzer,Rouzer,R,NC-7,93,17.7,90.6,2.4
House,Brenda L. Lawrence,Lawrence,D,MI-14,14,-60.9,11.6,2.4
House,Grace Meng,Meng,D,NY-6,19,-33,16.6,2.4
House,Norma J. Torres,Torres,D,CA-35,17.2,-40.8,14.9,2.4
House,Marc A. Veasey,Veasey,D,TX-33,15.5,-49.2,13.2,2.4
House,Daniel Lipinski,Lipinski,D,IL-3,32.8,-15.3,30.4,2.3
House,Bill Posey,Posey,R,FL-8,94.6,20.7,92.4,2.2
House,Wm. Lacy Clay,Clay,D,MO-1,15.5,-58.2,13.3,2.2
House,Tom Marino,Marino,R,PA-10,96.3,35.9,94.1,2.2
House,Steven M. Palazzo,Palazzo,R,MS-4,96.5,41.2,94.3,2.2
House,James B. Renacci,Renacci,R,OH-16,94.3,16.6,92.1,2.2
House,Bill Pascrell Jr.,Pascrell,D,NJ-9,19,-31.2,16.8,2.2
House,Jackie Walorski,Walorski,R,IN-2,94.9,23.2,92.7,2.2
House,Ron Estes,Estes,R,KS-4,91.2,27.2,89,2.2
House,Hank Johnson Jr.,Johnson,D,GA-4,15.5,-53.1,13.6,1.9
House,Donald S. Beyer Jr.,Beyer,D,VA-8,15.8,-52.6,13.9,1.9
House,Zoe Lofgren,Lofgren,D,CA-19,15.3,-51.4,13.5,1.8
House,G. K. Butterfield,Butterfield,D,NC-1,17.2,-37,15.6,1.7
House,Earl Blumenauer,Blumenauer,D,OR-3,16.1,-48.2,14.5,1.6
House,Steve King,King,R,IA-4,94.6,27.4,93.1,1.6
House,Val Butler Demings,Demings,D,FL-10,20.3,-26.9,18.8,1.5
House,Elijah E. Cummings,Cummings,D,MD-7,13,-55,11.5,1.5
House,Darin LaHood,LaHood,R,IL-18,94.9,27.3,93.4,1.5
House,James Comer,Comer,R,KY-1,94.9,48.5,93.5,1.5
House,Jeb Hensarling,Hensarling,R,TX-5,94.9,28.4,93.5,1.4
House,Liz Cheney,Cheney,R,WY-AL,94.9,46.3,93.5,1.4
House,Jason Chaffetz*,Chaffetz*,R,UT-3,100,23.9,98.6,1.4
House,Ro Khanna,Khanna,D,CA-17,13.8,-53.4,12.4,1.3
House,Nancy Pelosi,Pelosi,D,CA-12,14.5,-77.5,13.2,1.3
